Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  62,   3.123e-01,  -3.975e+00,   3.806e-02,      -0.046,       0.000,       0.999,   7.154e-04,      0.5208
  63,   2.978e-01,  -3.975e+00,   3.737e-02,      -0.053,       0.000,       0.999,   7.060e-04,      0.5363
  64,   2.836e-01,  -3.975e+00,   3.660e-02,      -0.060,       0.000,       0.998,   6.959e-04,      0.5522
  65,   2.695e-01,  -3.975e+00,   3.573e-02,      -0.067,       0.000,       0.998,   6.852e-04,      0.5648
  66,   2.557e-01,  -3.975e+00,   3.478e-02,      -0.074,       0.000,       0.997,   6.738e-04,      0.5777
  67,   2.421e-01,  -3.975e+00,   3.375e-02,      -0.080,       0.000,       0.997,   6.617e-04,      0.5908
  68,   2.288e-01,  -3.975e+00,   3.266e-02,      -0.087,       0.000,       0.996,   6.490e-04,      0.6040
  69,   2.157e-01,  -3.975e+00,   3.150e-02,      -0.093,       0.000,       0.996,   6.356e-04,      0.6178
  70,   2.030e-01,  -3.975e+00,   3.028e-02,      -0.099,       0.000,       0.995,   6.217e-04,      0.6315
  71,   1.905e-01,  -3.975e+00,   2.902e-02,      -0.106,       0.000,       0.994,   6.071e-04,      0.6432
  72,   1.783e-01,  -3.975e+00,   2.770e-02,      -0.112,       0.000,       0.994,   5.919e-04,      0.6559
  73,   1.664e-01,  -3.975e+00,   2.635e-02,      -0.117,       0.000,       0.993,   5.761e-04,      0.6693
  74,   1.549e-01,  -3.975e+00,   2.497e-02,      -0.123,       0.000,       0.992,   5.597e-04,      0.6835
  75,   1.437e-01,  -3.975e+00,   2.357e-02,      -0.128,       0.000,       0.992,   5.428e-04,      0.6993
  76,   1.329e-01,  -3.975e+00,   2.215e-02,      -0.134,       0.000,       0.991,   5.253e-04,      0.7140
  77,   1.224e-01,  -3.975e+00,   2.073e-02,      -0.139,       0.000,       0.990,   5.073e-04,      0.7296
  78,   1.123e-01,  -3.975e+00,   1.930e-02,      -0.144,       0.000,       0.990,   4.887e-04,      0.7471
  79,   1.026e-01,  -3.975e+00,   1.787e-02,      -0.148,       0.000,       0.989,   4.696e-04,      0.7668
  80,   9.323e-02,  -3.975e+00,   1.647e-02,      -0.153,       0.000,       0.988,   4.501e-04,      0.7891
  81,   8.430e-02,  -3.975e+00,   1.508e-02,      -0.157,       0.000,       0.988,   4.300e-04,      0.8144
  82,   7.578e-02,  -3.975e+00,   1.372e-02,      -0.161,       0.000,       0.987,   4.095e-04,      0.8417
  83,   6.768e-02,  -3.975e+00,   1.239e-02,      -0.165,       0.000,       0.986,   3.886e-04,      0.8747
  84,   6.001e-02,  -3.975e+00,   1.110e-02,      -0.168,       0.000,       0.986,   3.672e-04,      0.9141
  85,   5.277e-02,  -3.975e+00,   9.853e-03,      -0.172,       0.000,       0.985,   3.454e-04,      0.9615
  86,   4.597e-02,  -3.975e+00,   8.663e-03,      -0.175,       0.000,       0.985,   3.233e-04,      1.0191
  87,   3.962e-02,  -3.975e+00,   7.529e-03,      -0.178,       0.000,       0.984,   3.008e-04,      1.0880
  88,   3.372e-02,  -3.975e+00,   6.458e-03,      -0.181,       0.000,       0.984,   2.780e-04,      1.1727
  89,   2.829e-02,  -3.975e+00,   5.455e-03,      -0.183,       0.000,       0.983,   2.549e-04,      1.2777
  90,   2.332e-02,  -3.975e+00,   4.525e-03,      -0.186,       0.000,       0.983,   2.315e-04,      1.4086
  91,   1.882e-02,  -3.975e+00,   3.673e-03,      -0.188,       0.000,       0.982,   2.078e-04,      1.5738
  92,   1.479e-02,  -3.975e+00,   2.903e-03,      -0.189,       0.000,       0.982,   1.839e-04,      1.7860
  93,   1.125e-02,  -3.975e+00,   2.217e-03,      -0.191,       0.000,       0.982,   1.598e-04,      2.0647
  94,   8.181e-03,  -3.975e+00,   1.619e-03,      -0.193,       0.000,       0.981,   1.355e-04,      2.4455
  95,   5.603e-03,  -3.975e+00,   1.112e-03,      -0.194,       0.000,       0.981,   1.111e-04,      2.9955
  96,   3.512e-03,  -3.975e+00,   6.990e-04,      -0.195,       0.000,       0.981,   8.654e-05,      3.8560
  97,   1.911e-03,  -3.975e+00,   3.811e-04,      -0.195,       0.000,       0.981,   6.188e-05,      5.3919
  98,   8.017e-04,  -3.975e+00,   1.601e-04,      -0.196,       0.000,       0.981,   3.716e-05,      8.8861
  99,   1.850e-04,  -3.975e+00,   3.695e-05,      -0.196,       0.000,       0.981,   1.239e-05,     21.3402
Strip 2
 100,   9.999e-01,  -3.877e+00,   8.207e-06,       0.132,       0.000,       0.991,   3.647e-05,      0.0174
 101,   9.996e-01,  -3.877e+00,   5.744e-05,       0.132,       0.000,       0.991,   1.094e-04,      0.0308
 102,   9.987e-01,  -3.877e+00,   1.722e-04,       0.132,       0.000,       0.991,   1.822e-04,      0.0463
 103,   9.974e-01,  -3.877e+00,   3.522e-04,       0.131,       0.000,       0.991,   2.548e-04,      0.0602
 104,   9.955e-01,  -3.877e+00,   5.966e-04,       0.131,       0.000,       0.991,   3.271e-04,      0.0758
 105,   9.932e-01,  -3.877e+00,   9.050e-04,       0.130,       0.000,       0.991,   3.991e-04,      0.0896
 106,   9.903e-01,  -3.877e+00,   1.276e-03,       0.130,       0.000,       0.992,   4.707e-04,      0.1050
 107,   9.870e-01,  -3.877e+00,   1.708e-03,       0.129,       0.000,       0.992,   5.418e-04,      0.1179
 108,   9.833e-01,  -3.877e+00,   2.200e-03,       0.129,       0.000,       0.992,   6.124e-04,      0.1337
 109,   9.790e-01,  -3.877e+00,   2.751e-03,       0.127,       0.000,       0.992,   6.823e-04,      0.1458
 110,   9.743e-01,  -3.877e+00,   3.357e-03,       0.126,       0.000,       0.992,   7.515e-04,      0.1595
 111,   9.691e-01,  -3.877e+00,   4.018e-03,       0.125,       0.000,       0.992,   8.200e-04,      0.1736
 112,   9.634e-01,  -3.877e+00,   4.731e-03,       0.124,       0.000,       0.992,   8.876e-04,      0.1850
 113,   9.573e-01,  -3.877e+00,   5.492e-03,       0.123,       0.000,       0.992,   9.543e-04,      0.1976
 114,   9.507e-01,  -3.877e+00,   6.302e-03,       0.121,       0.000,       0.993,   1.020e-03,      0.2110
 115,   9.437e-01,  -3.877e+00,   7.156e-03,       0.119,       0.000,       0.993,   1.085e-03,      0.2214
 116,   9.362e-01,  -3.877e+00,   8.050e-03,       0.118,       0.000,       0.993,   1.148e-03,      0.2324
 117,   9.283e-01,  -3.877e+00,   8.982e-03,       0.116,       0.000,       0.993,   1.211e-03,      0.2436
 118,   9.200e-01,  -3.877e+00,   9.951e-03,       0.115,       0.000,       0.993,   1.272e-03,      0.2553
 119,   9.113e-01,  -3.877e+00,   1.095e-02,       0.112,       0.000,       0.994,   1.332e-03,      0.2645
 120,   9.022e-01,  -3.877e+00,   1.198e-02,       0.110,       0.000,       0.994,   1.390e-03,      0.2738
 121,   8.926e-01,  -3.877e+00,   1.303e-02,       0.108,       0.000,       0.994,   1.448e-03,      0.2832
 122,   8.827e-01,  -3.877e+00,   1.410e-02,       0.106,      -0.000,       0.994,   1.503e-03,      0.2925
 123,   8.724e-01,  -3.877e+00,   1.520e-02,       0.104,      -0.000,       0.995,   1.557e-03,      0.3018
 124,   8.618e-01,  -3.877e+00,   1.631e-02,       0.102,       0.000,       0.995,   1.610e-03,      0.3109
 125,   8.507e-01,  -3.877e+00,   1.742e-02,       0.099,       0.000,       0.995,   1.661e-03,      0.3186
 126,   8.394e-01,  -3.877e+00,   1.855e-02,       0.096,       0.000,       0.995,   1.710e-03,      0.3265
