xflr5 v6.58

Plane Name
T1-146.0 m/s-VLM1-Inviscid
QInf  =,  146.000000 ,m/s
Alpha = ,   8.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.976859
Cy    = ,  -0.000000
Cd=,   0.038759,ICd=,    0.038759,PCd=,    0.000000
Cl   = ,7.43526e-17
Cm   =,   -0.341853
ICn=,    0.000000,PCn=,    0.000000
XCP=,    0.349805, YCP=,    0.000000, ZCP=,    0.025511 
XNP=,    0.000000
Bending =, 89228.047653

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
    3.8227,   1.0000, -4.410, 0.529329, 0.000000, 0.044236,-0.201034,-0.068701, 0.0000, 0.0000, 0.3761,71.4286
    3.8578,   1.0000, -4.490, 0.489887, 0.000000, 0.042793,-0.188094,-0.065623, 0.0000, 0.0000, 0.3803,43.0697
    3.8890,   1.0000, -4.552, 0.449516, 0.000000, 0.041358,-0.174938,-0.062559, 0.0000, 0.0000, 0.3855,24.4468
    3.9164,   1.0000, -4.592, 0.408550, 0.000000, 0.040116,-0.161740,-0.059602, 0.0000, 0.0000, 0.3923,12.8508
    3.9400,   1.0000, -4.606, 0.367445, 0.000000, 0.039321,-0.148734,-0.056873, 0.0000, 0.0000, 0.4012, 6.1043
    3.9596,   1.0000, -4.587, 0.326823, 0.000000, 0.039225,-0.136234,-0.054529, 0.0000, 0.0000, 0.4133, 2.5180
    3.9754,   1.0000, -4.526, 0.287578, 0.000000, 0.039846,-0.124670,-0.052776, 0.0000, 0.0000, 0.4301, 0.8398
    3.9872,   1.0000, -4.414, 0.251072, 0.000000, 0.040779,-0.114640,-0.051872, 0.0000, 0.0000, 0.4533, 0.1945
    3.9951,   1.0000, -4.239, 0.219614, 0.000000, 0.041701,-0.106982,-0.052079, 0.0000, 0.0000, 0.4839, 0.0200
    3.9990,   1.0000, -4.054, 0.195740, 0.000000, 0.034214,-0.097512,-0.048577, 0.0000, 0.0000, 0.4951, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
   0,   9.998e-01,  -3.999e+00,   3.282e-05,       0.132,       0.000,       0.991,   1.965e-06,      0.2873
   1,   9.983e-01,  -3.999e+00,   2.293e-04,       0.132,       0.000,       0.991,   5.886e-06,      0.3421
   2,   9.948e-01,  -3.999e+00,   6.854e-04,       0.131,       0.000,       0.991,   9.782e-06,      0.3479
   3,   9.894e-01,  -3.999e+00,   1.395e-03,       0.129,       0.000,       0.992,   1.364e-05,      0.3552
   4,   9.821e-01,  -3.999e+00,   2.348e-03,       0.128,       0.000,       0.992,   1.744e-05,      0.3579
   5,   9.729e-01,  -3.999e+00,   3.532e-03,       0.126,       0.000,       0.992,   2.117e-05,      0.3424
   6,   9.618e-01,  -3.999e+00,   4.931e-03,       0.123,       0.000,       0.992,   2.481e-05,      0.3252
   7,   9.488e-01,  -3.999e+00,   6.523e-03,       0.120,       0.000,       0.993,   2.835e-05,      0.3404
   8,   9.342e-01,  -3.999e+00,   8.290e-03,       0.117,       0.000,       0.993,   3.178e-05,      0.3597
   9,   9.178e-01,  -3.999e+00,   1.021e-02,       0.113,       0.000,       0.994,   3.507e-05,      0.3380
  10,   8.997e-01,  -3.999e+00,   1.225e-02,       0.109,       0.000,       0.994,   3.823e-05,      0.2530
  11,   8.801e-01,  -3.999e+00,   1.438e-02,       0.105,       0.000,       0.994,   4.123e-05,      0.2251
  12,   8.589e-01,  -3.999e+00,   1.659e-02,       0.100,       0.000,       0.995,   4.406e-05,      0.2821
  13,   8.364e-01,  -3.999e+00,   1.883e-02,       0.095,       0.000,       0.995,   4.672e-05,      0.3068
  14,   8.125e-01,  -3.999e+00,   2.108e-02,       0.090,       0.000,       0.996,   4.919e-05,      0.2493
  15,   7.874e-01,  -3.999e+00,   2.331e-02,       0.084,       0.000,       0.996,   5.146e-05,      0.1275
  16,   7.612e-01,  -3.999e+00,   2.549e-02,       0.079,       0.000,       0.997,   5.353e-05,      0.1467
  17,   7.339e-01,  -3.999e+00,   2.759e-02,       0.072,       0.000,       0.997,   5.539e-05,      0.2007
  18,   7.057e-01,  -3.999e+00,   2.960e-02,       0.066,       0.000,       0.998,   5.702e-05,      0.1809
  19,   6.767e-01,  -3.999e+00,   3.147e-02,       0.060,       0.000,       0.998,   5.844e-05,      0.0973
  20,   6.470e-01,  -3.999e+00,   3.320e-02,       0.053,       0.000,       0.999,   5.962e-05,      0.0783
  21,   6.167e-01,  -3.999e+00,   3.476e-02,       0.046,       0.000,       0.999,   6.057e-05,      0.0987
