XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
111,8.80E-01,-3.99E+00,1.44E-02,0.105,0,0.994,2.06E-04,0.3277,,
112,8.59E-01,-3.99E+00,1.66E-02,0.1,0,0.995,2.20E-04,0.3142,,
113,8.36E-01,-3.99E+00,1.88E-02,0.095,0,0.995,2.33E-04,0.2989,,
114,8.13E-01,-3.99E+00,2.11E-02,0.09,0,0.996,2.46E-04,0.284,,
115,7.87E-01,-3.99E+00,2.33E-02,0.084,0,0.996,2.57E-04,0.2672,,
116,7.61E-01,-3.99E+00,2.55E-02,0.079,0,0.997,2.67E-04,0.2476,,
117,7.34E-01,-3.99E+00,2.76E-02,0.072,0,0.997,2.77E-04,0.2278,,
118,7.06E-01,-3.99E+00,2.96E-02,0.066,0,0.998,2.85E-04,0.208,,
119,6.77E-01,-3.99E+00,3.15E-02,0.06,0,0.998,2.92E-04,0.1868,,
120,6.47E-01,-3.99E+00,3.32E-02,0.053,0,0.999,2.98E-04,0.167,,
121,6.17E-01,-3.99E+00,3.48E-02,0.046,0,0.999,3.03E-04,0.1504,,
122,5.86E-01,-3.99E+00,3.61E-02,0.04,0,0.999,3.06E-04,0.1359,,
123,5.55E-01,-3.99E+00,3.73E-02,0.033,0,0.999,3.09E-04,0.1245,,
124,5.24E-01,-3.99E+00,3.83E-02,0.026,0,1,3.10E-04,0.1185,,
125,4.92E-01,-3.99E+00,3.90E-02,0.019,0,1,3.10E-04,0.1163,-3.987,0.1163
126,4.61E-01,-3.99E+00,3.96E-02,0.012,0,1,3.08E-04,0.119,,
127,4.30E-01,-3.99E+00,3.99E-02,0.005,0,1,3.06E-04,0.1319,,
128,3.99E-01,-3.99E+00,4.00E-02,-0.005,0,1,3.02E-04,0.1522,,
129,3.68E-01,-3.99E+00,3.97E-02,-0.02,0,1,2.97E-04,0.1588,,
130,3.38E-01,-3.99E+00,3.90E-02,-0.035,0,0.999,2.92E-04,0.1592,,
131,3.09E-01,-3.99E+00,3.79E-02,-0.049,0,0.999,2.85E-04,0.1564,,
132,2.80E-01,-3.99E+00,3.64E-02,-0.063,0,0.998,2.77E-04,0.1485,,
133,2.52E-01,-3.99E+00,3.45E-02,-0.077,0,0.997,2.67E-04,0.1361,,
134,2.26E-01,-3.99E+00,3.24E-02,-0.09,0,0.996,2.57E-04,0.1219,,
135,2.00E-01,-3.99E+00,3.00E-02,-0.103,0,0.995,2.46E-04,0.103,,
136,1.75E-01,-3.99E+00,2.74E-02,-0.115,0,0.993,2.34E-04,0.081,,
